64x128x64,64x128x128x64,128x256x128,128x256x256x128,256x512x256,256x512x512x256,512x1024x512
14,30,40,50,32,53,47
22,25,42,25,33,26,32
15,21,25,29,32,61,52
34,10,33,35,43,37,39
15,18,19,21,37,50,25
34,30,38,14,43,38,30
29,11,30,28,29,44,40
18,27,20,38,39,41,50
0,0,0,0,62,31,52
0,0,0,0,47,40,49
0,0,0,0,38,35,59
0,0,0,0,32,59,36
0,0,0,0,22,40,38
0,0,0,0,42,45,59
0,0,0,0,47,46,30
0,0,0,0,22,37,41
