64x128x64,64x128x128x64,128x256x128,128x256x256x128,256x512x256,256x512x512x256,512x1024x512
30,10,46,29,55,31,58
16,17,27,26,37,53,30
33,23,26,29,34,36,30
20,19,28,26,41,32,30
40,23,30,14,24,47,51
32,20,38,32,49,45,52
21,9,21,40,35,41,58
44,22,25,20,32,31,40
0,0,0,0,52,57,48
0,0,0,0,31,43,60
0,0,0,0,24,46,54
0,0,0,0,32,21,55
0,0,0,0,53,25,47
0,0,0,0,39,38,35
0,0,0,0,28,48,52
0,0,0,0,43,42,45
